id,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,LONG,LAT
440,HEART OF TEXAS INTERNAL MEDICINE - EARLY,325-643-3010,2005 UNITED STATES HIGHWAY 183 NORTH, ,EARLY,TX,76802,-98.96385790000001,31.738627299999997
441,MARBLE FALLS MINOR EMERGENCY,830-798-1122,1701 UNITED STATES HIGHWAY 281 NORTH, ,MARBLE FALLS,TX,78654,-98.2730292,30.5872272
442,BASTROP FAMILY MEDICAL CENTER,512-321-9091,475 STATE HIGHWAY 71, ,BASTROP,TX,78602,-97.3335085,30.107055900000002
443,AMERICAN MEDICAL GROUP INCORPORATED,505-392-2040,2410 NORTH FOWLER STREET,SUITE B,HOBBS,NM,88240,-103.1358966,32.7274458
444,CONCENTRA URGENT CARE - KANSAS CITY,913-321-7557,4214 KANSAS AVENUE, ,KANSAS CITY,KS,66106,-94.6780059,39.0910056
445,METHODIST MINOR MEDICAL CENTER - HACKS CROSS,901-756-6056,8071 WINCHESTER ROAD, ,MEMPHIS,TN,38125,-89.794055,35.0475346
446,PECOS VALLEY FAMILY CLINIC - EXPRESS CARE,575-234-9692,2330 WEST PIERCE STREET, ,CARLSBAD,NM,88220,-104.2562121,32.4406546
447,SAINT MARYS URGENT CARE AT THE LAKE,573-365-6800,2265 BAGNELL DAM BOULEVARD,SUITE 103,LAKE OZARK,MO,65049,-92.6410056,38.1877273
448,CONCENTRA URGENT CARE - GRANDVIEW,816-763-1755,12220A SOUTH BLUE RIDGE BOULEVARD, ,GRANDVIEW,MO,64030,-94.53112220000001,38.9041303
449,NEXTCARE URGENT CARE - CASA GRANDE,520-876-0164,1729 NORTH TREKELL ROAD,SUITE 110,CASA GRANDE,AZ,85222,-111.7402863,32.8979865
450,HEALTHPOINT URGENT CARE AND OCCUPATIONAL MEDICINE,309-454-4411,1437 EAST COLLEGE AVENUE, ,NORMAL,IL,61761,-88.96136779999999,40.5100714
451,PRIMACARE MEDICAL CENTER - NORTHWEST DALLAS,972-488-9222,11888 MARSH LANE, ,DALLAS,TX,75234,-96.8556455,32.9100432
452,CARE UNITED MEDICAL CENTER,972-564-0044,426 FARM TO MARKET 548,SUITE 124,FORNEY,TX,75126,-96.44784720000001,32.7456042
453,PREMIER URGENT CARE,719-481-2335,15854 JACKSON CREEK PARKWAY, ,MONUMENT,CO,80132,-104.8493564,39.0648105
454,DOCTORS ON CALL,505-323-8911,10700 MENAUL BOULEVARD NORTHEAST, ,ALBUQUERQUE,NM,87112,-106.5216182,35.1084933
455,ABQ HEALTH PARTNERS URGENT CARE - MONTGOMERY,505-275-4259,9101 MONTGOMERY BOULEVARD NORTHEAST, ,ALBUQUERQUE,NM,87111,-106.5415422,35.1311235
456,LOVELAND URGENT CARE,970-669-5717,3850 NORTH GRANT AVENUE,SUITE 100,LOVELAND,CO,80538,-105.0784895,40.431742299999996
457,SUNFLOWER PROMPT CARE,785-246-3733,4646 NORTHWEST FIELDING ROAD, ,TOPEKA,KS,66618,-95.7136931,39.131224700000004
458,DES PERES URGENT CARE CENTER,314-965-7800,12161 MANCHESTER ROAD, ,DES PERES,MO,63131,-90.43805290000002,38.6027392
459,QUALITY CARE CLINIC,405-382-7733,2015A WEST WRANGLER BOULEVARD, ,SEMINOLE,OK,74868,-96.695972,35.246139899999996
460,MERCY HEALTH LOVE COUNTY URGENT CARE,580-276-3347,300 WANDA STREET, ,MARIETTA,OK,73448,-97.1316305,33.9427586
461,ORDER OF SAINT FRANCIS PROMPT CARE - MORTON HEALTH CENTER,309-266-5405,435 MAXINE DRIVE,SUITE ONE,MORTON,IL,61550,-89.4771007,40.6038733
462,SAN ANTONIO URGENT CARE,210-699-9993,6387 BABCOCK ROAD, ,SAN ANTONIO,TX,78240,-98.61356529999999,29.543286199999997
463,WENTZVILLE URGENT CARE,636-887-4288,1111 WEST PEARCE BOULEVARD, ,WENTZVILLE,MO,63385,-90.8705752,38.8106162
464,SAINT JOHN'S MERCY URGENT CARE CENTER,636-477-8757,107 PIPER HILL DRIVE,SUITE 100,SAINT PETERS,MO,63376,-90.5878817,38.793310600000005
465,PARK CITY HEALTHCARE,435-649-7640,1665 BONANZA DRIVE, ,PARK CITY,UT,84060,-111.50076059999999,40.6624075
466,X-PRESS CARE,575-762-7331,2021 WEST 21ST STREET, ,CLOVIS,NM,88101,-103.2300053,34.4188391
467,TEXAS MEDICAL HOME - URGENT CARE,972-437-9090,8702 SPRING VALLEY ROAD,SUITE B,DALLAS,TX,75240,-96.7524035,32.9396033
468,J PHILLIPS NOWATA HEALTH CENTER URGENT CARE,918-273-3102,237 SOUTH LOCUST STREET, ,NOWATA,OK,74048,-95.63010059999999,36.697395
469,SAN JUAN REGIONAL MEDICAL CENTER URGENT CARE,505-326-0459,4820 EAST MAIN STREET, ,FARMINGTON,NM,87402,-108.149251,36.7668898
470,ORDER OF SAINT FRANCIS PROMPT CARE - GLEN AVENUE OUTPATIENT CENTER,309-683-6600,4911 EXECUTIVE DRIVE, ,PEORIA,IL,61614,-89.6081495,40.7472015
471,SOUTH TEXAS MEDICAL CLINIC CONVENIENT CARE,979-282-2273,2100 REGIONAL MEDICAL DRIVE, ,WHARTON,TX,77488,-96.1181083,29.3264951
472,MEDCENTER MIDTOWN,918-665-5100,1623 SOUTH UTICA AVENUE, ,TULSA,OK,74104,-95.96676590000001,36.1388624
473,ROSSVILLE HEALTH CENTER,901-261-7303,4940 STATE HIGHWAY 57, ,ROSSVILLE,TN,38066,-89.5571237,35.042169799999996
474,URGENT CARE - GRAND JUNCTION,970-209-3787,517 NORTH 1ST STREET, ,GRAND JUNCTION,CO,81501,-108.57124879999999,39.0716153
475,PRIMACARE MEDICAL CENTER - LAKEWOOD,214-828-0448,6350 EAST MOCKINGBIRD LANE, ,DALLAS,TX,75214,-96.7533723,32.8361328
476,INTERMOUNTAIN HEALTH CARE - NORTH OREM INSTACARE,801-714-5000,1975 NORTH STATE STREET, ,OREM,UT,84057,-111.71412690000001,40.333216799999995
477,GREEN CLINIC,318-255-3690,1200 SOUTH FARMERVILLE STREET, ,RUSTON,LA,71270,-92.63205909999999,32.5166684
478,CARE NOW - GRAND PRAIRIE,972-264-5858,3950 SOUTH CARRIER PARKWAY,SUITE 110,GRAND PRAIRIE,TX,75052,-97.0089159,32.677974600000006
479,INTERMOUNTAIN HEALTH CARE - SPRINGVILLE CLINIC AND INSTACARE,801-429-1200,762 WEST 400 SOUTH, ,SPRINGVILLE,UT,84663,-111.6387749,40.1615599
480,MILL CREEK EXPRESS CARE,801-466-3102,3215 SOUTH VALLEY STREET, ,SALT LAKE CITY,UT,84109,-111.798975,40.700973499999996
481,FRISCO URGENT CARE AND CLINIC,972-668-3990,3550 PARKWOOD BOULEVARD,SUITE A 205,FRISCO,TX,75034,-96.8161242,33.1089335
482,ENVIVA HEALTH SERVICES,972-351-9993,1014 FERRIS AVENUE, ,WAXAHACHIE,TX,75165,-96.8438964,32.397801
483,FAMILY PHYSICIANS CLINIC - VALLEY NIGHT CLINIC,956-682-4516,606 SOUTH BROADWAY STREET, ,MCALLEN,TX,78501,-98.2345801,26.1981619
484,BURLESON FAMILY MEDICAL CENTER,817-447-1208,434 SOUTHWEST WILSHIRE BOULEVARD, ,BURLESON,TX,76028,-97.3329806,32.5394597
485,SPRINGFIELD PRIORITY CARE,217-789-1403,3631 SOUTH 6TH STREET, ,SPRINGFIELD,IL,62703,-89.6461885,39.752512700000004
486,CONCENTRA URGENT CARE - AURORA,303-755-4955,10355 EAST ILIFF AVENUE, ,AURORA,CO,80247,-104.8670087,39.6754696
487,PRIMACARE MEDICAL CENTER - MESQUITE,972-686-1880,1280 NORTH TOWN EAST BOULEVARD, ,MESQUITE,TX,75150,-96.61429,32.8103968
488,PIONEER MEDICAL CLINIC,972-790-1344,1335 NORTH BELT LINE ROAD, ,IRVING,TX,75061,-96.9947332,32.8279394
489,FAMILY MEDICAL WALK-IN CLINICS - NORTH,417-866-5550,2619 NORTH KANSAS EXRPESSWAY, ,SPRINGFIELD,MO,65803,-93.3113732,37.2456065
490,DENHAM SPRINGS URGENT CARE,225-791-0002,1585 SOUTH RANGE AVENUE, ,DENHAM SPRINGS,LA,70726,-90.95685809999999,30.4654445
491,CONCENTRA MEDICAL CENTER - DENVER SOUTH,303-777-2777,1212 SOUTH BROADWAY,SUITE 150,DENVER,CO,80210,-104.987068,39.694368299999994
492,BLANCO ROAD MEDICAL CLINIC - URGENT CARE,210-349-4406,4603 BLANCO ROAD, ,SAN ANTONIO,TX,78212,-98.5084383,29.489773600000003
493,LAKE AFTER HOURS - O'NEAL,225-756-0780,2380 ONEAL LANE,SUITE A,BATON ROUGE,LA,70816,-91.0078511,30.4349853
494,LAKE AFTER HOURS - DENHAM SPRINGS,225-791-8800,31985 STATE HIGHWAY 16, ,DENHAM SPRINGS,LA,70726,-90.95648320000001,30.531957199999997
495,TARA MEDICAL CARE,225-927-6362,8786 GOODWOOD BOULEVARD, ,BATON ROUGE,LA,70806,-91.0927587,30.4424212
496,ARCADIA URGENT CARE,602-354-3491,4730 EAST INDIAN SCHOOL ROAD,SUITE 211,PHOENIX,AZ,85018,-111.97917,33.4949248
497,DENVER ENDOSCOPY CENTER PROFESSIONAL LIMITED LIABILITY COMPANY,303-344-4844,8155 EAST 1ST AVENUE, ,DENVER,CO,80230,-104.89267530000001,39.7230934
498,CONCENTRA URGENT CARE - FORT COLLINS,970-221-5811,2620 EAST PROSPECT ROAD,SUITE 160,FORT COLLINS,CO,80525,-105.02812959999999,40.568911
499,JOSHUA FAMILY MEDICAL CARE,817-558-4535,201 NORTH BROADWAY STREET, ,JOSHUA,TX,76058,-97.3849244,32.4638061
500,WALK-IN MED CLINIC - NACOGDOCHES,210-599-2273,14094 OCONNOR ROAD, ,SAN ANTONIO,TX,78247,-98.384982,29.569474
501,EXCEL IMMEDIATE MEDICAL CARE,281-304-1100,25801 NORTHWEST FREEWAY, ,CYPRESS,TX,77429,-95.6938343,29.9702812
502,CONCENTRA MEDICAL CENTER - FLAGSTAFF,928-773-9695,120 WEST FINE AVENUE, ,FLAGSTAFF,AZ,86001,-111.64828999999999,35.2039357
503,BAYSIDE FAMILY MEDICAL CENTER,361-857-0178,3817 SOUTH PADRE ISLAND DRIVE, ,CORPUS CHRISTI,TX,78415,-97.4021147,27.7226501
504,DRISCOLL CHILDRENS URGENT CARE,361-694-1500,5494 SARATOGA BOULEVARD, ,CORPUS CHRISTI,TX,78414,-97.3780523,27.6816533
505,FAMILY MEDICAL CENTER - URGENT CARE,432-686-6680,2501 WEST ILLINOIS AVENUE, ,MIDLAND,TX,79701,-102.10222309999999,31.994545000000002
506,OAKS MEDICAL CENTER,281-367-1414,25410 INTERSTATE HIGHWAY 45 NORTH,SUITE 100,SPRING,TX,77386,-95.4429642,30.130226
507,AUSTIN HIGHWAY MINOR EMERGENCY FAMILY CARE CENTER,210-828-4404,1230 AUSTIN HIGHWAY,SUITE 100,SAN ANTONIO,TX,78209,-98.4449443,29.4869751
508,ADVANCED URGENT CARE - TEMPE,480-456-0444,1804 WEST ELLIOT ROAD, ,TEMPE,AZ,85284,-111.96715990000001,33.3494269
509,EAST VALLEY URGENT CARE,480-840-6600,1355 SOUTH HIGLEY ROAD, ,HIGLEY,AZ,85236,-111.7208943,33.3264576
510,CORNERSTONE PEDIATRIC URGENT CARE,480-633-1111,1430 NORTH COOPER ROAD, ,GILBERT,AZ,85233,-111.80758780000001,33.3760252
511,INTERMOUNTAIN HEALTH CARE - BOUNTIFUL INSTACARE,801-292-6100,390 NORTH MAIN STREET, ,BOUNTIFUL,UT,84010,-111.8801196,40.893235700000005
512,METHODIST MEDPOINTE,309-691-9110,8914 NORTH KNOXVILLE AVENUE, ,PEORIA,IL,61615,-89.6061301,40.795891600000004
513,CARE 4 U,956-994-0111,6316 NORTH 10TH STREET,BUILDING C,MCALLEN,TX,78504,-98.21989549999999,26.260162400000002
514,EAST TEXAS MEDICAL CENTER,903-579-2800,6210 SOUTH BROADWAY AVENUE, ,TYLER,TX,75703,-95.3049314,32.281737400000004
515,MISSISSIPPI EMERGENCY ASSOCIATION MEDICAL CLINICS - MADISON CLINIC,601-856-5986,935 UNITED STATES HIGHWAY 51, ,MADISON,MS,39110,-90.1139792,32.4571041
516,MERCY URGENT CARE CLINIC,970-385-2129,1 SKIER PLACE, ,DURANGO,CO,81301,-107.8106375,37.628854
517,CAVERNS FAMILY URGENT CARE,575-628-3808,1016 WEST PIERCE STREET, ,CARLSBAD,NM,88220,-104.23868879999999,32.436250199999996
518,SUN VALLEY PEDIATRIC URGENT CARE,480-355-5437,4045 WEST CHANDLER BOULEVARD, ,CHANDLER,AZ,85226,-111.9120679,33.3050498
519,EMERGY CLINIC,432-699-5112,1816 NORTH MIDLAND DRIVE, ,MIDLAND,TX,79707,-102.1368605,32.0031752
520,GONZABA MEDICAL GROUP - URGENT CARE,210-921-3800,720 PLEASANTON ROAD, ,SAN ANTONIO,TX,78214,-98.5038937,29.3778729
521,PELICAN STATE OUTPATIENT CENTER,504-818-0006,1525 DICKORY AVENUE, ,HARAHAN,LA,70123,-90.2036688,29.9619342
522,JOSEY LANE FAMILY CARE MEDICAL CENTER,972-242-2726,1205 NORTH JOSEY LANE, ,CARROLLTON,TX,75006,-96.8906324,32.9564315
523,ALAMO CITY MEDICAL GROUP 24 HOUR RIVERWALK CLINIC,210-272-1741,408 NAVARRO STREET, ,SAN ANTONIO,TX,78205,-98.48942,29.425631899999996
524,AFTER HOURS MEDICAL CLINIC - SOUTH JORDAN,801-501-0500,10464 SOUTH REDWOOD ROAD, ,SOUTH JORDAN,UT,84095,-111.9397627,40.561242
525,SULPHUR URGENT CARE,337-626-0078,3924 MAPLEWOOD DRIVE, ,SULPHUR,LA,70663,-93.32907209999999,30.227946799999998
526,MEDCENTER,918-665-1520,2929 SOUTH GARNETT ROAD, ,TULSA,OK,74129,-95.8507546,36.1209761
527,AM AND PM URGENT CARE CLINIC,580-355-0575,4411 WEST GORE BOULEVARD, ,LAWTON,OK,73505,-98.44682,34.6092589
528,FAMILY MEDICINE ASSOCIATES CLINIC - URGENT CARE,918-455-7777,3100 SOUTH ELM PLACE, ,BROKEN ARROW,OK,74012,-95.7977971,36.0202425
529,AFTER HOURS PEDIATRIC URGENT CARE - CHESTERFIELD,636-519-9559,1751 CLARKSON ROAD, ,CHESTERFIELD,MO,63017,-90.5687994,38.642887
530,INTERMOUNTAIN HEALTH CARE - TAYLORSVILLE INSTACARE,801-840-2020,3845 WEST 4700 SOUTH, ,SALT LAKE CITY,UT,84118,-111.9826355,40.6665638
531,INTERMOUNTAIN HEALTH CARE - NORTH TEMPLE CLINIC,801-359-0901,54 NORTH 800 WEST, ,SALT LAKE CITY,UT,84116,-111.91352690000001,40.7707109
532,CONCENTRA MEDICAL CENTER - DENVER NORTH,303-292-2273,420 EAST 58TH AVENUE,SUITE 111,DENVER,CO,80216,-104.9819578,39.8013612
533,NEA CLINIC - HILLTOP URGENT CARE,870-932-8222,4901 EAST JOHNSON AVENUE, ,JONESBORO,AR,72401,-90.6384798,35.8638334
534,SOUTHWEST DALLAS FAMILY MEDICAL CLINIC,214-330-0137,2815 SOUTH HAMPTON ROAD, ,DALLAS,TX,75224,-96.857361,32.7160953
535,THE DOCTORS' CENTER - NORTHWEST CORPUS CHRISTI,361-241-1116,11559 LEOPARD STREET, ,CORPUS CHRISTI,TX,78410,-97.5940127,27.8498
536,CONCENTRA URGENT CARE - THORNTON,303-287-7070,500 EAST 84TH AVENUE,SUITE B-14,THORNTON,CO,80229,-104.9823202,39.8486724
537,RED BIRD MINOR EMERGENCY CENTER,214-330-7777,4323 SOUTH HAMPTON ROAD, ,DALLAS,TX,75232,-96.85762729999999,32.6905424
538,PRO MED COOPER CLINIC,479-648-1155,1400 SOUTH ZERO STREET, ,FORT SMITH,AR,72901,-94.41882290000001,35.3277422
539,THE DOCTORS' CENTER - SOUTHSIDE CORPUS CHRISTI,361-992-0227,5536 SARATOGA BOULEVARD, ,CORPUS CHRISTI,TX,78413,-97.3843026,27.6862293
540,WAYNE COMMUNITY HEALTH CENTER,435-425-3744,128 SOUTH 300 WEST, ,BICKNELL,UT,84775,-111.5494018,38.3400734
541,EMERY MEDICAL CENTER,435-381-2305,90 WEST MAIN STREET, ,CASTLE DALE,UT,84513,-111.0209509,39.211335
542,MOAB IMMEDIATE CARE,435-259-5276,267 NORTH MAIN STREET, ,MOAB,UT,84532,-109.55113940000001,38.57731
543,LAKE AFTER HOURS - CENTRAL,225-262-8377,11055 SHOE CREEK DRIVE, ,BATON ROUGE,LA,70818,-91.0442859,30.550601500000003
544,WILLIS KNIGHTON QUICK CARE,318-212-5000,1666 EAST BERT KOUNS INDUSTRIAL LOOP, ,SHREVEPORT,LA,71105,-93.7131663,32.4317985
545,FAIRWAY MEDICAL URGENT CARE,985-809-8989,70340 STATE HIGHWAY 21,SUITE A,COVINGTON,LA,70433,-90.1360898,30.451056599999998
546,ACADIAN HEALTH SERVICES,337-234-9925,1602 WEST PINHOOK ROAD,SUITE 100,LAFAYETTE,LA,70508,-92.01657900000001,30.1939044
547,CONCENTRA MEDICAL CENTER - BOULDER,303-541-9090,3434 47TH STREET, ,BOULDER,CO,80301,-105.243766,40.0380922
548,AFTEROURS URGENT CARE,303-861-7878,3260 EAST 104TH AVENUE, ,THORNTON,CO,80233,-104.948619,39.8845263
549,CONCENTRA URGENT CARE - PLANO,972-578-2212,701 EAST PLANO PARKWAY,SUITE 103,PLANO,TX,75074,-96.7045598,33.008281800000006
550,SPARKS PREFERRED MEDICAL CARE,479-709-7440,5111 ROGERS AVENUE,SUITE 40M,FORT SMITH,AR,72903,-94.37469899999999,35.3667034
551,HEARTLAND URGENT CARE,913-378-2045,2040 HUTTON ROAD, ,KANSAS CITY,KS,66109,-94.8363373,39.1299271
552,AFTER HOURS MEDICAL CLINIC - AMERICAN FORK,801-492-1611,476 NORTH 900 WEST,SUITE C,AMERICAN FORK,UT,84003,-111.82141599999999,40.3871324
553,NEA CLINIC - WOODSPRINGS URGENT CARE,870-910-0012,2205 WEST PARKER ROAD, ,JONESBORO,AR,72404,-90.7412472,35.823016700000004
554,CRIMSON URGENT CARE,504-837-5991,3001 RIDGELAKE DRIVE, ,METAIRIE,LA,70002,-90.1532614,30.005237
555,CREEKWOOD URGENT CARE,816-505-5050,5601 NORTHEAST ANTIOCH ROAD,SUITE 12,GLADSTONE,MO,64119,-94.5475901,39.195603000000006
556,PRESTON PARK MEDICAL CLINIC,972-596-3505,4801 WEST PARK BOULEVARD,SUITE 425,PLANO,TX,75093,-96.7909482,33.0278691
557,MINOR EMERGENCY CENTER - DOCTOR PAUL LANCE MEDICAL DOCTOR,956-544-6111,2300 CENTRAL BOULEVARD, ,BROWNSVILLE,TX,78520,-97.50965450000001,25.9370823
558,MILLS CLINIC,318-629-3630,7225 FERN AVENUE,SUITE 600,SHREVEPORT,LA,71105,-93.72879990000001,32.4422819
559,INTERMOUNTAIN HEALTH CARE - BOUNTIFUL KIDSCARE,801-294-9933,390 NORTH MAIN STREET, ,BOUNTIFUL,UT,84010,-111.88012490000001,40.8932422
560,INTERMOUNTAIN HEALTH CARE - SOUTHRIDGE KIDSCARE,801-302-7340,3859 WEST 12600 SOUTH,INTERMOUNTAIN SOUTHRIDGE CLINIC,RIVERTON,UT,84065,-111.9814309,40.5217532
561,PEARLAND HEALTHCARE CENTER,713-436-4333,1801 COUNTRY PLACE PARKWAY,SUITE 109,PEARLAND,TX,77584,-95.38158490000001,29.579520199999997
562,NORTHWEST MEDICAL CENTER - LA PALOMA URGENT CARE,520-209-7000,4001 EAST SUNRISE DRIVE, ,TUCSON,AZ,85718,-110.90860970000001,32.308689
563,TEXAS MEDCLINIC - AUSTIN,512-291-5577,9900 INTERSTATE HIGHWAY 35 SOUTH, ,AUSTIN,TX,78748,-97.79225629999999,30.154605
564,RIO GRANDE HOSPITAL CLINIC,719-657-2418,310 COUNTY ROAD 14, ,DEL NORTE,CO,81132,-106.3652861,37.6736244
565,ACCESS MEDICAL CENTER,405-387-9325,1000 NORTHWEST 32ND STREET, ,NEWCASTLE,OK,73065,-97.6105196,35.2906555
566,SAINT ELIZABETHS HOSPITAL AFTER HOURS CLINIC - PRAIRIEVILLE,225-744-4988,17609 OLD JEFFERSON HIGHWAY,SUITE B,PRAIRIEVILLE,LA,70769,-90.9785031,30.324859600000003
567,LAKE POINTE URGENT CARE CENTER,469-698-7883,1005 WEST RALPH HALL PARKWAY,LAKE POINTE MEDICAL ARTS BUILDING,ROCKWALL,TX,75032,-96.4698105,32.8869007
568,CHOCTAW NATION HEALTH CLINIC,580-584-2740,1300 DOCTOR MARTIN LUTHER KING DRIVE, ,BROKEN BOW,OK,74728,-94.7209347,34.0275223
569,CHRISTUS SCHUMPERT FIRST CARE - BOSSIER,318-848-2920,2539 VIKING DRIVE,SUITE 101,BOSSIER CITY,LA,71111,-93.7148108,32.5559689
570,URGENT CARE CLINIC,731-285-2212,1950 COOK STREET,SUITE A,DYERSBURG,TN,38024,-89.4045498,36.0525284
571,CONCENTRA MEDICAL CENTER URGENT CARE - ADDISON,972-458-8111,15810 MIDWAY ROAD, ,ADDISON,TX,75001,-96.839049,32.9659136
572,CONCENTRA URGENT CARE - KANSAS CITY CROSSROADS,816-842-1146,200 SOUTHWEST BOULEVARD, ,KANSAS CITY,MO,64108,-94.5863329,39.0898073
573,NORTHWEST MEDICAL CENTER - URGENT CARE AT INA AND SHANNON,520-219-6616,2945 WEST INA ROAD, ,TUCSON,AZ,85741,-111.03032520000001,32.3365772
574,DYERSBURG FAMILY WALK IN CLINIC,731-285-6110,2017 SAINT JOHN AVENUE,SUITE B,DYERSBURG,TN,38024,-89.3570821,36.0575815
575,FAMILY HEALTH CENTER OF OZONA,325-392-3788,104 AVENUE H, ,OZONA,TX,76943,-101.2066258,30.7216245
576,CONCENTRA URGENT CARE - KANSAS CITY EXECUTIVE PARK,816-241-0603,6401 FRONT STREET, ,KANSAS CITY,MO,64120,-94.50704259999999,39.129753
577,HILL COUNTRY URGENT CARE,830-997-0390,212 EAST AUSTIN STREET, ,FREDERICKSBURG,TX,78624,-98.8681247,30.274268300000003
578,WEST ISLE URGENT CARE,409-744-9800,2027 61ST STREET, ,GALVESTON,TX,77551,-94.83276579999999,29.278091999999997
579,CARE NOW - PLANO,972-599-0077,3821 WEST SPRING CREEK PARKWAY, ,PLANO,TX,75023,-96.76829659999999,33.0569953
580,CARE NOW - CARROLLTON,972-939-9495,1017 WEST HEBRON PARKWAY, ,CARROLLTON,TX,75010,-96.91673730000001,33.0202185
581,LOVELACE SANDIA ACADEMY CLINIC,505-727-3400,8080 ACADEMY ROAD, ,ALBUQUERQUE,NM,87111,-106.54819409999999,35.148052899999996
582,NATCHITOCHES URGENT CARE CLINIC,318-332-2288,615 BIENVILLE STREET, ,NATCHITOCHES,LA,71457,-93.07778520000001,31.7512537
583,NORTHWEST MEDICAL CENTER - MARANA URGENT CARE,520-202-7700,8333 NORTH SILVERBELL ROAD, ,TUCSON,AZ,85743,-111.1144932,32.3582815
584,ARAPAHOE PEAK HEALTH CENTER,303-679-8500,28000 MEADOW DRIVE,SUITE 210,EVERGREEN,CO,80439,-105.31838710000001,39.637505299999994
585,SAINT ELIZABETHS HOSPITAL AFTER HOURS CLINIC - GONZALES,225-647-4988,1702 NORTH BURNSIDE AVENUE, ,GONZALES,LA,70737,-90.92037629999999,30.2476067
586,CHRISTUS COUSHATTA HEALTH CARE CENTER - WALK IN CLINIC,318-932-2170,1633 MARVEL STREET, ,COUSHATTA,LA,71019,-93.3432766,32.0213405
587,LAKE AFTER HOURS - HIGHLAND,225-302-5757,123 LEE DRIVE, ,BATON ROUGE,LA,70808,-91.1595207,30.395001899999997
588,METHODIST MINOR MEDICAL CENTER - MIDTOWN,901-722-3152,1803 UNION AVENUE,SUITE 1,MEMPHIS,TN,38104,-90.00138609999999,35.1348803
589,SAINT FRANCIS HOSPITAL URGENT CARE,918-451-5198,3000 SOUTH ELM PLACE, ,BROKEN ARROW,OK,74012,-95.7987834,36.021564500000004
590,URGENT CARE OF GREEN COUNTRY - PRYOR,918-825-7555,4115 REDDEN, ,PRYOR,OK,74361,-95.2891285,36.2469631
591,GRAND LAKE MEDICAL PARK - MONKEY ISLAND,918-257-8585,26300 SOUTH STATE HIGHWAY 125, ,AFTON,OK,74331,-94.87277990000001,36.6369653
592,GAGE COUNTY MEDICAL CLINIC,402-228-3436,1101 NORTH 10TH STREET, ,BEATRICE,NE,68310,-96.7415329,40.27722120000001
593,CHILDERS MEDICAL GROUP,918-485-9696,1317 SOUTH DEWEY AVENUE, ,WAGONER,OK,74467,-95.3947983,35.9476819
594,E-CARE EMERGENCY CENTER - MCKINNEY,972-548-7277,2810 HARDIN BOULEVARD, ,MCKINNEY,TX,75070,-96.66544449999999,33.1671825
595,EMERGICARE MEDICAL CLINICS,719-594-0046,4083 AUSTIN BLUFFS PARKWAY, ,COLORADO SPRINGS,CO,80918,-104.75481500000001,38.8906494
596,EMERGICARE MEDICAL CLINICS,719-545-0788,4117 NORTH ELIZABETH STREET, ,PUEBLO,CO,81008,-104.6159551,38.3113828
597,EMERGICARE MEDICAL CLINICS - HANCOCK,719-390-7017,3002 SOUTH ACADEMY BOULEVARD, ,COLORADO SPRINGS,CO,80916,-104.7587653,38.78862879999999
598,UNITY HEALTH CARE URGENT CARE,405-878-7160,1900 SOUTH GORDON COOPER DRIVE, ,SHAWNEE,OK,74801,-96.9274777,35.2974297
599,MCCOOK CLINIC PRIMARY CARE,308-344-4110,1401 EAST H STREET, ,MCCOOK,NE,69001,-100.60696309999999,40.205051
600,FIRST CARE MEDICAL CLINIC,918-681-3333,3300 CHANDLER ROAD,SUITE 105,MUSKOGEE,OK,74403,-95.33155190000001,35.74116420000001
601,CARE NOW - FRISCO PRESTON ROAD,972-387-8900,14856 PRESTON ROAD,SUITE 100,DALLAS,TX,75240,-96.8031265,32.9507075
602,PRIMACARE MEDICAL CENTER - FRISCO,972-377-7878,7227 PRESTON ROAD, ,FRISCO,TX,75034,-96.8048696,33.138168900000004
603,INTEGRIS ALTUS MEDICAL CLINIC,580-480-3320,201 SOUTH PARK LANE, ,ALTUS,OK,73521,-99.3170098,34.635594299999994
604,SAINT JOSEPHS EXPRESS CARE CLINIC,501-984-6780,5010 NORTH STATE HIGHWAY 7, ,HOT SPRINGS,AR,71909,-93.0661882,34.657408200000006
605,CONVENIENT CARE CLINIC,501-520-5476,1636 HIGDON FERRY ROAD, ,HOT SPRINGS,AR,71913,-93.0748923,34.46428289999999
606,CHRISTUS SCHUMPERT FIRST CARE - SHREVEPORT,318-681-7877,9425 HEALTHPLEX DRIVE, ,SHREVEPORT,LA,71106,-93.7488733,32.3966134
607,ACCESS MEDICAL CENTER,405-324-1911,301 SOUTH MUSTANG ROAD, ,YUKON,OK,73099,-97.7254588,35.463224700000005
608,CONCENTRA MEDICAL CENTER URGENT CARE - TULSA,918-622-7488,9515 EAST 51ST STREET,SUITE G,TULSA,OK,74145,-95.8698907,36.0904008
609,FAMILY MEDICINE AND URGENT CARE,501-525-7800,295 SECTION LINE ROAD, ,HOT SPRINGS,AR,71913,-93.0688091,34.4649478
610,MERCY AFTER HOURS - EDMOND,405-749-7099,1919 EAST MEMORIAL ROAD, ,OKLAHOMA CITY,OK,73131,-97.4788917,35.6094206
611,URGENT MED,580-252-1911,2004 STATE HIGHWAY 81, ,DUNCAN,OK,73533,-97.9662618,34.53013189999999
612,HIGH COUNTRY HEALTH CARE,970-547-9200,400 NORTH PARK AVENUE, ,BRECKENRIDGE,CO,80424,-106.04730259999998,39.4881186
